name,status,url,x,y
Coco,Resident,https://villagerdb.com/images/villagers/thumb/coco.15c2793.png,1,5
Ellie,Resident,https://villagerdb.com/images/villagers/thumb/ellie.5a144a6.png,2,5
Grizzly,Resident,https://villagerdb.com/images/villagers/thumb/grizzly.daf5928.png,3,5
Julia,Resident,https://villagerdb.com/images/villagers/thumb/julia.8d164d6.png,0,4
Lucky,Resident,https://villagerdb.com/images/villagers/thumb/lucky.69c97f6.png,1,4
Marshal,Resident,https://villagerdb.com/images/villagers/thumb/marshal.20eb375.png,2,4
Molly,Resident,https://villagerdb.com/images/villagers/thumb/molly.627e58d.png,3,4
Shep,Resident,https://villagerdb.com/images/villagers/thumb/shep.1d78fc5.png,4,4
Sherb,Resident,https://villagerdb.com/images/villagers/thumb/sherb.484a0a7.png,0,3
Wolfgang,Resident,https://villagerdb.com/images/villagers/thumb/wolfgang.8804196.png,1,3
Anicotti,Moved Out,https://villagerdb.com/images/villagers/thumb/anicotti.2c20797.png,2,3
Chevre,Moved Out,https://villagerdb.com/images/villagers/thumb/chevre.1b3996a.png,3,3
Chrissy,Moved Out,https://villagerdb.com/images/villagers/thumb/chrissy.4e1c5bc.png,4,3
Clay,Moved Out,https://villagerdb.com/images/villagers/thumb/clay.ef6377c.png,0,2
Flip,Moved Out,https://villagerdb.com/images/villagers/thumb/flip.cea8f6a.png,1,2
Gwen,Moved Out,https://villagerdb.com/images/villagers/thumb/gwen.5368258.png,2,2
Lopez,Moved Out,https://villagerdb.com/images/villagers/thumb/lopez.23078f7.png,3,2
Ozzie,Moved Out,https://villagerdb.com/images/villagers/thumb/ozzie.9b9c0d9.png,4,2
Piper,Moved Out,https://villagerdb.com/images/villagers/thumb/piper.fdb2a00.png,0,1
Puck,Moved Out,https://villagerdb.com/images/villagers/thumb/puck.eaefc0e.png,1,1
Rasher,Moved Out,https://villagerdb.com/images/villagers/thumb/rasher.8b931b4.png,2,1
Sprinkle,Moved Out,https://villagerdb.com/images/villagers/thumb/sprinkle.48e1484.png,3,1
Sylvia,Moved Out,https://villagerdb.com/images/villagers/thumb/sylvia.fc670df.png,4,1
