Title,Authors,Contributors,ISBN,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",Julia Meitov Hersey (Translator),,,read,2018-11-29,2020-02-03,2020/01/13-2020/02/03,1,"challenging, dark, mysterious, tense",slow,,It's complicated,It's complicated,No,Yes,5,<div>i don't think I have a single clue what it means but I loved it all</div>,,,,Yes
Gideon the Ninth,Tamsyn Muir,,,,read,2020-08-13,2020-12-30,2020-12-30,1,"adventurous, dark, emotional, funny",medium,,It's complicated,It's complicated,Yes,Yes,4.5,,,,"fantasy, eye-spy-a-gay-girl, blood-sweat-and-tears, this-book-made-me-cry",Yes
Red Sister,Mark Lawrence,,,,read,2018-08-20,2019-01-20,2018/12/28-2019/01/20,1,,,,,,,,5,i dont have the words to say how much i adored this book,,,"strong-women, fantasy, fav-friendships, eye-spy-a-gay-girl, favourites, blood-sweat-and-tears",No
This Is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar",,9.78E+12,digital,read,2020-10-26,2020-11-01,2020/10/27-2020/11/01,1,"adventurous, emotional, reflective",medium,,Yes,Yes,It's complicated,It's complicated,5,"<div>this book stroked my brain, caressed my heart, and embraced my soul</div>",,,eye-spy-a-gay-girl,Yes
American Gods,Neil Gaiman,,,,read,2018-08-07,2018-12-01,2018-12-01,1,,,,,,,,5,,,,"fantasy, summer-2018, favourites, mythology",Yes
Northern Lights,Philip Pullman,,,,read,2019-12-30,2020-01-09,2019/12/31-2020/01/09,1,,,,,,,,5,i wish all books were written like this one,,,"strong-women, favourites, blood-sweat-and-tears",Yes
The Lightning Thief,Rick Riordan,,786838655,paperback,read,2020-03-30,2020-04-01,2020/03/31-2020/04/01,1,"adventurous, funny, lighthearted",fast,,Yes,Yes,No,No,5,"<div>this was some very lovely nostalgia, and now I wanna reread the whole series</div>",,,"fav-friendships, my-happy-place, blood-sweat-and-tears, mythology",Yes
The Devourers,Indra Das,,,,read,2018-08-07,2018-08-07,2018/07/09-2018/08/07,1,,,,,,,,5,,,,"queer-lit, strong-women, fantasy, summer-2018, not-set-in-north-america, fav-friendships, favourites, this-book-made-me-cry, mythology",No
The Library at Mount Char,Scott Hawkins,,,,read,2020-01-12,2020-05-01,2020/04/09-2020/05/01,1,"adventurous, dark, funny",fast,,It's complicated,No,It's complicated,Yes,4,"<div>the library at mount char is a unique story premise told in an incredibly unique way. i loved the vibrant characters, the black humour, and the theatrically gruesome violence underpinned by an overall sardonic tone. the break-neck speed of the story had me completely hooked.<br><br>however... i didnt love some of the tropes that scott hawkins' character arcs fell into. particularly i felt that including r*pes as part of carolyn's vengeful motivations felt reductive (can't have a female fantasy protag without a traumatic r*pe backstory!)<br><br>there were a couple other things but... overall this was a fucked up and unique and exhilarating read!</div>",Graphic: Rape; ,,"strong-women, fantasy, apocalypse, blood-sweat-and-tears",Yes
Daughter of the Forest,Juliet Marillier,,,,read,2020-08-29,2020-10-26,2020/08/30-2020/10/26,1,"challenging, emotional",slow,,Yes,Yes,No,No,3.5,"<div>TW: rape<br><br> this book is like fair folk of sevenwaters: i was drawn in and eventually captured by the gorgeous forest with its ancient mysticism &amp; beauty, by sorcha's selfless love and strength. but at the end when i was spit out of this world, i was left reeling and confused.<br> <br>(also i really cant not take of the criticism glasses and have to mention that a large chunk of sorcha's story is propelled by a violent rape &amp; the love story revolves around a man in his 20s while she is 14/15)</div>",Graphic: Rape; ,,"fantasy, not-set-in-north-america, romance",Yes
