"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-01","2020","01","01","","1.1","","-2.0","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","15","","26","","35",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-02","2020","01","02","","4.4","","-4.6","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","15","","20","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-03","2020","01","03","","4.7","","1.2","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","6","","","","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-04","2020","01","04","","1.4","","-3.0","","-0.8","","18.8","","0.0","","0.0","","1.8","","1.3","","4","","","","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-05","2020","01","05","","-3.0","","-12.9","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","6","","28","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-06","2020","01","06","","-4.1","","-11.7","","-7.9","","25.9","","0.0","","0.0","","6.6","","3.4","","8","","27","","35",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-07","2020","01","07","","-0.4","","-7.0","","-3.7","","21.7","","0.0","","0.0","","0.0","T","0.0","T","12","","27","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-08","2020","01","08","","-1.2","","-15.1","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","10","","29","","63",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-09","2020","01","09","","-10.2","","-18.6","","-14.4","","32.4","","0.0","","0.0","T","0.0","","0.0","T","9","","9","","42",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-10","2020","01","10","","3.7","","-10.2","","-3.3","","21.3","","0.0","","0.0","","0.0","T","0.0","T","8","","20","","45",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-11","2020","01","11","","8.3","","-2.4","","3.0","","15.0","","0.0","","38.9","","0.4","","43.1","","4","","34","","45",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-12","2020","01","12","","-2.4","","-11.2","","-6.8","","24.8","","0.0","","0.8","","12.0","","12.0","","4","","4","","48",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-13","2020","01","13","","-6.8","","-11.6","","-9.2","","27.2","","0.0","","0.8","","0.2","","1.0","","7","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-14","2020","01","14","","-5.6","","-9.5","","-7.6","","25.6","","0.0","","0.0","","0.0","T","0.0","T","5","","6","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-15","2020","01","15","","0.7","","-6.7","","-3.0","","21.0","","0.0","","0.0","","0.2","","0.2","","5","E","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-16","2020","01","16","","-1.9","","-17.1","","-9.5","","27.5","","0.0","","0.0","","7.4","","4.6","","10","","32","","55",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-17","2020","01","17","","-16.3","","-20.8","","-18.6","","36.6","","0.0","","0.0","","0.0","","0.0","","10","","32","","52",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-18","2020","01","18","","-14.0","","-19.1","","-16.6","","34.6","","0.0","","0.0","","14.3","","10.3","","10","","7","","54",""
"-75.67","45.32","OTTAWA INTL A","6106001","2020-01-19","2020","01","19","","-9.5","","-15.0","","-12.3","","30.3","","0.0","","0.0","","6.6","","4.6","","30","","33","","41",""
