Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S60894919,Mallard,Anas platyrhynchos,471,40,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-10-24,1:24 PM,eBird - Traveling Count,35,1,1,,1,,,,
S60894919,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,20,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-10-24,1:24 PM,eBird - Traveling Count,35,1,1,,1,,,,
S60894919,Ring-billed Gull,Larus delawarensis,6263,25,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-10-24,1:24 PM,eBird - Traveling Count,35,1,1,,1,,,,
S60894919,Great Blue Heron,Ardea herodias,7092,1,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-10-24,1:24 PM,eBird - Traveling Count,35,1,1,,1,,,,
S60917896,Canada Goose,Branta canadensis,297,X,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-10-25,12:50 PM,eBird - Traveling Count,60,1,2.2,,1,,,,
S60917896,Mallard,Anas platyrhynchos,471,X,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-10-25,12:50 PM,eBird - Traveling Count,60,1,2.2,,1,,,,
S60917896,Ring-billed Gull,Larus delawarensis,6263,X,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-10-25,12:50 PM,eBird - Traveling Count,60,1,2.2,,1,,,,
S60917896,Black-capped Chickadee,Poecile atricapillus,21132,1,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-10-25,12:50 PM,eBird - Traveling Count,60,1,2.2,,1,,,,
S60917896,American Robin,Turdus migratorius,27462,6,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-10-25,12:50 PM,eBird - Traveling Count,60,1,2.2,,1,,,,
S61001053,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,20,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-10-28,1:10 PM,eBird - Traveling Count,55,1,2.1,,1,,,,
S61001053,Ring-billed Gull,Larus delawarensis,6263,3,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-10-28,1:10 PM,eBird - Traveling Count,55,1,2.1,,1,,,,
S61001053,American Crow,Corvus brachyrhynchos,20638,1,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-10-28,1:10 PM,eBird - Traveling Count,55,1,2.1,,1,,,,
S61001053,Black-capped Chickadee,Poecile atricapillus,21132,2,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-10-28,1:10 PM,eBird - Traveling Count,55,1,2.1,,1,,,,
S61001053,Northern Cardinal,Cardinalis cardinalis,33194,1,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-10-28,1:10 PM,eBird - Traveling Count,55,1,2.1,,1,,,,
S61113225,Mallard,Anas platyrhynchos,471,X,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-02,9:59 AM,eBird - Traveling Count,90,1,5,,1,,,,
S61113225,Harlequin Duck,Histrionicus histrionicus,626,1,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-02,9:59 AM,eBird - Traveling Count,90,1,5,,1,,Originally thought female Bufflehead however photos from this location has confirmed Harlequin Duck.,,
S61113225,Common Merganser,Mergus merganser,658,6,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-02,9:59 AM,eBird - Traveling Count,90,1,5,,1,,,,
S61113225,Ring-billed Gull,Larus delawarensis,6263,X,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-02,9:59 AM,eBird - Traveling Count,90,1,5,,1,,,,
S61113225,Northern Cardinal,Cardinalis cardinalis,33194,1,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-02,9:59 AM,eBird - Traveling Count,90,1,5,,1,,,,
S61249674,Mallard,Anas platyrhynchos,471,2,CA-ON,Ottawa,L4449886,Ottawa--Brewer Park,45.3863882,-75.6865525,2019-11-07,12:05 PM,eBird - Traveling Count,50,1,5,,1,,,,
S61249674,Hooded Merganser,Lophodytes cucullatus,651,3,CA-ON,Ottawa,L4449886,Ottawa--Brewer Park,45.3863882,-75.6865525,2019-11-07,12:05 PM,eBird - Traveling Count,50,1,5,,1,,,,
S61375051,Canada Goose,Branta canadensis,297,X,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-11,1:00 PM,eBird - Traveling Count,120,1,6,,1,,,,
S61375051,Mallard,Anas platyrhynchos,471,30,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-11,1:00 PM,eBird - Traveling Count,120,1,6,,1,,,,
S61375051,Harlequin Duck,Histrionicus histrionicus,626,1,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-11,1:00 PM,eBird - Traveling Count,120,1,6,,1,,Continuing bird,,
S61375051,Common Goldeneye,Bucephala clangula,642,20,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-11,1:00 PM,eBird - Traveling Count,120,1,6,,1,,,,
S61375051,Common Merganser,Mergus merganser,658,11,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-11,1:00 PM,eBird - Traveling Count,120,1,6,,1,,,,
S61375051,Ring-billed Gull,Larus delawarensis,6263,X,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2019-11-11,1:00 PM,eBird - Traveling Count,120,1,6,,1,,,,
S61445892,Canada Goose,Branta canadensis,297,6,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-11-14,12:15 PM,eBird - Traveling Count,80,1,6,,1,,,,
S61445892,Mallard,Anas platyrhynchos,471,14,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-11-14,12:15 PM,eBird - Traveling Count,80,1,6,,1,,,,
S61445892,Common Merganser,Mergus merganser,658,8,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-11-14,12:15 PM,eBird - Traveling Count,80,1,6,,1,,,,
S61445892,Ring-billed Gull,Larus delawarensis,6263,2,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-11-14,12:15 PM,eBird - Traveling Count,80,1,6,,1,,,,
S61445892,Great Black-backed Gull,Larus marinus,6330,1,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-11-14,12:15 PM,eBird - Traveling Count,80,1,6,,1,,,,
S61445892,American Crow,Corvus brachyrhynchos,20638,50,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-11-14,12:15 PM,eBird - Traveling Count,80,1,6,,1,,,,
S61445892,Black-capped Chickadee,Poecile atricapillus,21132,4,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-11-14,12:15 PM,eBird - Traveling Count,80,1,6,,1,,,,
S61445892,Northern Cardinal,Cardinalis cardinalis,33194,2,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-11-14,12:15 PM,eBird - Traveling Count,80,1,6,,1,,,,
S61579562,Mallard,Anas platyrhynchos,471,30,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-11-19,8:05 AM,eBird - Casual Observation,,0,,,1,,,Work commute,
S61579562,Bufflehead,Bucephala albeola,641,2,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-11-19,8:05 AM,eBird - Casual Observation,,0,,,1,,,Work commute,
S61579562,Hooded Merganser,Lophodytes cucullatus,651,2,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-11-19,8:05 AM,eBird - Casual Observation,,0,,,1,,,Work commute,
S61753105,Mallard,Anas platyrhynchos,471,60,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-11-25,1:15 PM,eBird - Traveling Count,60,1,2,,1,,,,
S61753105,Hooded Merganser,Lophodytes cucullatus,651,6,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-11-25,1:15 PM,eBird - Traveling Count,60,1,2,,1,,,,
S61753105,Common Merganser,Mergus merganser,658,1,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-11-25,1:15 PM,eBird - Traveling Count,60,1,2,,1,,,,
S61753105,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,1,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-11-25,1:15 PM,eBird - Traveling Count,60,1,2,,1,,,,
S61753105,Ring-billed Gull,Larus delawarensis,6263,3,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-11-25,1:15 PM,eBird - Traveling Count,60,1,2,,1,,,,
S61753105,Black-capped Chickadee,Poecile atricapillus,21132,1,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-11-25,1:15 PM,eBird - Traveling Count,60,1,2,,1,,,,
S61957344,Mallard,Anas platyrhynchos,471,X,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-12-03,1:30 PM,eBird - Traveling Count,45,1,2,,1,,,,
S61957344,Common Merganser,Mergus merganser,658,5,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-12-03,1:30 PM,eBird - Traveling Count,45,1,2,,1,,,,
S61957344,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,12,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2019-12-03,1:30 PM,eBird - Traveling Count,45,1,2,,1,,,,
S62124061,Cackling Goose,Branta hutchinsii,286,1,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S62124061,Mallard,Anas platyrhynchos,471,X,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S62124061,Common Merganser,Mergus merganser,658,4,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S62124061,Herring Gull,Larus argentatus,6275,2,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S62124061,Great Black-backed Gull,Larus marinus,6330,2,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S62124061,Hairy Woodpecker,Dryobates villosus,10831,1,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S62124061,American Crow,Corvus brachyrhynchos,20638,X,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S62124061,Black-capped Chickadee,Poecile atricapillus,21132,7,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S62124061,Brown Creeper,Certhia americana,25958,1,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S62124061,House Finch,Haemorhous mexicanus,31084,2,CA-ON,Ottawa,L351700,Ottawa--Vincent Massey/Hog's Back Parks,45.37576,-75.69772,2019-12-07,1:00 PM,eBird - Traveling Count,120,1,3,,2,,,,
S63098067,Common Goldeneye,Bucephala clangula,642,1,CA-ON,Ottawa,L261757,Ottawa--National Wildlife Research Centre environs,45.3838974,-75.6898547,2020-01-06,12:30 PM,eBird - Traveling Count,45,1,3,,1,,,,
S63098067,Barrow's Goldeneye,Bucephala islandica,647,1,CA-ON,Ottawa,L261757,Ottawa--National Wildlife Research Centre environs,45.3838974,-75.6898547,2020-01-06,12:30 PM,eBird - Traveling Count,45,1,3,,1,,,,
S63098067,Pileated Woodpecker,Dryocopus pileatus,11150,1,CA-ON,Ottawa,L261757,Ottawa--National Wildlife Research Centre environs,45.3838974,-75.6898547,2020-01-06,12:30 PM,eBird - Traveling Count,45,1,3,,1,,,,
S64092952,Wood Duck,Aix sponsa,397,1,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2020-02-03,12:09 PM,eBird - Stationary Count,45,1,,,1,,,,
S64092952,Mallard,Anas platyrhynchos,471,X,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2020-02-03,12:09 PM,eBird - Stationary Count,45,1,,,1,,,,
S64092952,Common Goldeneye,Bucephala clangula,642,2,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2020-02-03,12:09 PM,eBird - Stationary Count,45,1,,,1,,,,
S64092952,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,X,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2020-02-03,12:09 PM,eBird - Stationary Count,45,1,,,1,,,,
S64092952,American Crow,Corvus brachyrhynchos,20638,2,CA-ON,Ottawa,L1924584,Ottawa--Billings Bridge,45.3892075,-75.6778702,2020-02-03,12:09 PM,eBird - Stationary Count,45,1,,,1,,,,
S64929878,Common Merganser,Mergus merganser,658,1,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,Mourning Dove,Zenaida macroura,2339,2,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,Downy Woodpecker,Dryobates pubescens,10805,6,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,Hairy Woodpecker,Dryobates villosus,10831,1,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,Pileated Woodpecker,Dryocopus pileatus,11150,1,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,American Crow,Corvus brachyrhynchos,20638,X,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,Common Raven,Corvus corax,20703,1,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,Black-capped Chickadee,Poecile atricapillus,21132,X,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,White-breasted Nuthatch,Sitta carolinensis,25873,10,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,Brown Creeper,Certhia americana,25958,2,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,House Finch,Haemorhous mexicanus,31084,1,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S64929878,Northern Cardinal,Cardinalis cardinalis,33194,10,CA-ON,Ottawa,L826615,Britannia CA (general location),45.3711229,-75.7915535,2020-02-23,1:30 PM,eBird - Traveling Count,180,1,5,,2,,,,
S66053495,Canada Goose,Branta canadensis,297,6,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,Mallard,Anas platyrhynchos,471,12,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,American Black Duck,Anas rubripes,493,1,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,Common Goldeneye,Bucephala clangula,642,8,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,Ring-billed Gull,Larus delawarensis,6263,10,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,Downy Woodpecker,Dryobates pubescens,10805,5,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,American Crow,Corvus brachyrhynchos,20638,X,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,Common Raven,Corvus corax,20703,3,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,Black-capped Chickadee,Poecile atricapillus,21132,6,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,White-breasted Nuthatch,Sitta carolinensis,25873,1,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,House Sparrow,Passer domesticus,30329,X,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,House/Purple Finch,Haemorhous mexicanus/purpureus,31101,1,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66053495,American Goldfinch,Spinus tristis,31382,2,CA-ON,Ottawa,L1827821,Ottawa--Strathcona Park,45.4258847,-75.6706332,2020-03-21,10:00 AM,eBird - Traveling Count,120,1,4,,2,,,,
S66182432,Hooded Merganser,Lophodytes cucullatus,651,2,CA-ON,Ottawa,L11021829,St. Patrick Bridge,45.4373026,-75.6786792,2020-03-24,6:10 PM,eBird - Casual Observation,,0,,,1,,,,
S66182432,Great Blue Heron,Ardea herodias,7092,1,CA-ON,Ottawa,L11021829,St. Patrick Bridge,45.4373026,-75.6786792,2020-03-24,6:10 PM,eBird - Casual Observation,,0,,,1,F Flyover,,,
S66631674,Hooded Merganser,Lophodytes cucullatus,651,6,CA-ON,Ottawa,L2134468,Ottawa--Sawmill Creek Constructed Wetland,45.3596357,-75.6612325,2020-04-04,11:15 AM,eBird - Stationary Count,5,1,,,1,,,,
S66631674,Common Merganser,Mergus merganser,658,2,CA-ON,Ottawa,L2134468,Ottawa--Sawmill Creek Constructed Wetland,45.3596357,-75.6612325,2020-04-04,11:15 AM,eBird - Stationary Count,5,1,,,1,,,,
S66906868,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,1,CA-ON,Ottawa,L11121805,Minto Park,45.4169578,-75.6874517,2020-04-10,9:10 AM,eBird - Stationary Count,20,1,,,2,,,,
S66906868,Ring-billed Gull,Larus delawarensis,6263,2,CA-ON,Ottawa,L11121805,Minto Park,45.4169578,-75.6874517,2020-04-10,9:10 AM,eBird - Stationary Count,20,1,,,2,,,,
S66906868,European Starling,Sturnus vulgaris,26739,2,CA-ON,Ottawa,L11121805,Minto Park,45.4169578,-75.6874517,2020-04-10,9:10 AM,eBird - Stationary Count,20,1,,,2,,,,
S66906868,House Sparrow,Passer domesticus,30329,8,CA-ON,Ottawa,L11121805,Minto Park,45.4169578,-75.6874517,2020-04-10,9:10 AM,eBird - Stationary Count,20,1,,,2,,,,
S66906868,American Goldfinch,Spinus tristis,31382,2,CA-ON,Ottawa,L11121805,Minto Park,45.4169578,-75.6874517,2020-04-10,9:10 AM,eBird - Stationary Count,20,1,,,2,,,,
S66906868,Northern Cardinal,Cardinalis cardinalis,33194,3,CA-ON,Ottawa,L11121805,Minto Park,45.4169578,-75.6874517,2020-04-10,9:10 AM,eBird - Stationary Count,20,1,,,2,,,,
