Year,Month,Type,Total
2019,January,Marriage Licenses,222
2019,February,Marriage Licenses,179
2019,March,Marriage Licenses,302
2019,April,Marriage Licenses,383
2019,May,Marriage Licenses,482
2019,June,Marriage Licenses,560
2019,July,Marriage Licenses,671
2019,August,Marriage Licenses,606
2019,September,Marriage Licenses,390
2019,October,Marriage Licenses,251
2019,November,Marriage Licenses,189
2019,December,Marriage Licenses,143
2020,January,Marriage Licenses,233
2020,February,Marriage Licenses,180
2020,March,Marriage Licenses,146
2020,April,Marriage Licenses,3
2020,May,Marriage Licenses,2
2020,June,Marriage Licenses,3
2020,July,Marriage Licenses,543
2020,August,Marriage Licenses,434
2020,September,Marriage Licenses,302
2020,October,Marriage Licenses,184
2020,November,Marriage Licenses,158
2020,December,Marriage Licenses,172
